Found 2517 video directories; workers=8; fps=auto; dry_run=False
[1/2517] actionclipautoautotrain00005: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00005.avi), written=281
[70/2517] actionclipautoautotrain00065: frames=878, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00065.avi), written=878
[71/2517] actionclipautoautotrain00068: frames=256, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00068.avi), written=256
[72/2517] actionclipautoautotrain00073: frames=481, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00073.avi), written=481
[73/2517] actionclipautoautotrain00074: frames=431, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00074.avi), written=431
[74/2517] actionclipautoautotrain00075: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00075.avi), written=231
[75/2517] actionclipautoautotrain00077: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00077.avi), written=231
[76/2517] actionclipautoautotrain00076: frames=356, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00076.avi), written=356
[77/2517] actionclipautoautotrain00080: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00080.avi), written=306
[78/2517] actionclipautoautotrain00072: frames=906, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00072.avi), written=906
[79/2517] actionclipautoautotrain00078: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00078.avi), written=281
[80/2517] actionclipautoautotrain00082: frames=231, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00082.avi), written=231
[81/2517] actionclipautoautotrain00084: frames=431, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00084.avi), written=431
[82/2517] actionclipautoautotrain00085: frames=281, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00085.avi), written=281
[83/2517] actionclipautoautotrain00081: frames=356, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00081.avi), written=356
[84/2517] actionclipautoautotrain00086: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00086.avi), written=306
[85/2517] actionclipautoautotrain00083: frames=506, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00083.avi), written=506
[86/2517] actionclipautoautotrain00087: frames=356, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00087.avi), written=356
[87/2517] actionclipautoautotrain00089: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00089.avi), written=281
[88/2517] actionclipautoautotrain00088: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00088.avi), written=281
[89/2517] actionclipautoautotrain00079: frames=656, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00079.avi), written=656
[90/2517] actionclipautoautotrain00091: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00091.avi), written=231
[91/2517] actionclipautoautotrain00092: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00092.avi), written=231
[92/2517] actionclipautoautotrain00095: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00095.avi), written=306
[93/2517] actionclipautoautotrain00090: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00090.avi), written=281
[94/2517] actionclipautoautotrain00096: frames=256, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00096.avi), written=256
[95/2517] actionclipautoautotrain00094: frames=756, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00094.avi), written=756
[96/2517] actionclipautoautotrain00093: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00093.avi), written=306
[97/2517] actionclipautoautotrain00097: frames=231, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00097.avi), written=231
[98/2517] actionclipautoautotrain00098: frames=231, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00098.avi), written=231
[99/2517] actionclipautoautotrain00100: frames=306, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00100.avi), written=306
[100/2517] actionclipautoautotrain00101: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00101.avi), written=281
[101/2517] actionclipautoautotrain00099: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00099.avi), written=306
[102/2517] actionclipautoautotrain00102: frames=406, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00102.avi), written=406
[103/2517] actionclipautoautotrain00104: frames=331, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00104.avi), written=331
[104/2517] actionclipautoautotrain00106: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00106.avi), written=306
[105/2517] actionclipautoautotrain00103: frames=356, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00103.avi), written=356
[106/2517] actionclipautoautotrain00108: frames=331, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00108.avi), written=331
[107/2517] actionclipautoautotrain00109: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00109.avi), written=281
[108/2517] actionclipautoautotrain00105: frames=431, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00105.avi), written=431
[109/2517] actionclipautoautotrain00110: frames=281, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00110.avi), written=281
[110/2517] actionclipautoautotrain00107: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00107.avi), written=306
[111/2517] actionclipautoautotrain00112: frames=331, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00112.avi), written=331
[112/2517] actionclipautoautotrain00113: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00113.avi), written=306
[113/2517] actionclipautoautotrain00111: frames=256, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00111.avi), written=256
[114/2517] actionclipautoautotrain00114: frames=256, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00114.avi), written=256
[115/2517] actionclipautoautotrain00116: frames=330, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00116.avi), written=330
[116/2517] actionclipautoautotrain00115: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00115.avi), written=231
[117/2517] actionclipautoautotrain00119: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00119.avi), written=281
[118/2517] actionclipautoautotrain00121: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00121.avi), written=281
[119/2517] actionclipautoautotrain00117: frames=331, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00117.avi), written=331
[120/2517] actionclipautoautotrain00118: frames=381, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00118.avi), written=381
[121/2517] actionclipautoautotrain00120: frames=280, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00120.avi), written=280
[122/2517] actionclipautoautotrain00123: frames=530, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00123.avi), written=530
[123/2517] actionclipautoautotrain00124: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00124.avi), written=256
[124/2517] actionclipautoautotrain00126: frames=355, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00126.avi), written=355
[125/2517] actionclipautoautotrain00122: frames=855, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00122.avi), written=855
[126/2517] actionclipautoautotrain00127: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00127.avi), written=256
[127/2517] actionclipautoautotrain00130: frames=281, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00130.avi), written=281
[128/2517] actionclipautoautotrain00129: frames=331, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00129.avi), written=331
[129/2517] actionclipautoautotrain00132: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00132.avi), written=281
[130/2517] actionclipautoautotrain00128: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00128.avi), written=356
[131/2517] actionclipautoautotrain00131: frames=306, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00131.avi), written=306
[132/2517] actionclipautoautotrain00125: frames=829, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00125.avi), written=829
[133/2517] actionclipautoautotrain00136: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00136.avi), written=356
[134/2517] actionclipautoautotrain00134: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00134.avi), written=256
[135/2517] actionclipautoautotrain00135: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00135.avi), written=256
[136/2517] actionclipautoautotrain00137: frames=305, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00137.avi), written=305
[137/2517] actionclipautoautotrain00139: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00139.avi), written=306
[138/2517] actionclipautoautotrain00133: frames=381, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00133.avi), written=381
[139/2517] actionclipautoautotrain00138: frames=506, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00138.avi), written=506
[140/2517] actionclipautoautotrain00141: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00141.avi), written=281
[141/2517] actionclipautoautotrain00142: frames=231, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00142.avi), written=231
[142/2517] actionclipautoautotrain00143: frames=280, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00143.avi), written=280
[143/2517] actionclipautoautotrain00144: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00144.avi), written=306
[144/2517] actionclipautoautotrain00140: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00140.avi), written=281
[145/2517] actionclipautoautotrain00146: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00146.avi), written=231
[146/2517] actionclipautoautotrain00149: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00149.avi), written=231
[147/2517] actionclipautoautotrain00148: frames=231, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00148.avi), written=231
[148/2517] actionclipautoautotrain00145: frames=704, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00145.avi), written=704
[149/2517] actionclipautoautotrain00152: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00152.avi), written=231
[150/2517] actionclipautoautotrain00150: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00150.avi), written=231
[151/2517] actionclipautoautotrain00157: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00157.avi), written=231
[152/2517] actionclipautoautotrain00151: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00151.avi), written=256
[153/2517] actionclipautoautotrain00156: frames=279, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00156.avi), written=279
[154/2517] actionclipautoautotrain00154: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00154.avi), written=303
[155/2517] actionclipautoautotrain00158: frames=398, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00158.avi), written=398
[156/2517] actionclipautoautotrain00153: frames=998, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00153.avi), written=998
[157/2517] actionclipautoautotrain00147: frames=804, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00147.avi), written=804
[158/2517] actionclipautoautotrain00160: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00160.avi), written=231
[159/2517] actionclipautoautotrain00159: frames=279, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00159.avi), written=279
[160/2517] actionclipautoautotrain00155: frames=903, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00155.avi), written=903
[161/2517] actionclipautoautotrain00161: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00161.avi), written=279
[162/2517] actionclipautoautotrain00162: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00162.avi), written=279
[163/2517] actionclipautoautotrain00164: frames=471, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00164.avi), written=471
[164/2517] actionclipautoautotrain00168: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00168.avi), written=256
[165/2517] actionclipautoautotrain00170: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00170.avi), written=231
[166/2517] actionclipautoautotrain00171: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00171.avi), written=281
[167/2517] actionclipautoautotrain00163: frames=1358, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00163.avi), written=1358
[168/2517] actionclipautoautotrain00172: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00172.avi), written=306
[169/2517] actionclipautoautotrain00166: frames=1310, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00166.avi), written=1310
[170/2517] actionclipautoautotrain00167: frames=881, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00167.avi), written=881
[171/2517] actionclipautoautotrain00173: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00173.avi), written=256
[172/2517] actionclipautoautotrain00165: frames=1598, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00165.avi), written=1598
[173/2517] actionclipautoautotrain00176: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00176.avi), written=231
[174/2517] actionclipautoautotrain00175: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00175.avi), written=231
[175/2517] actionclipautoautotrain00178: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00178.avi), written=256
[176/2517] actionclipautoautotrain00174: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00174.avi), written=356
[177/2517] actionclipautoautotrain00177: frames=331, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00177.avi), written=331
[178/2517] actionclipautoautotrain00179: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00179.avi), written=281
[179/2517] actionclipautoautotrain00180: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00180.avi), written=231
[180/2517] actionclipautoautotrain00185: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00185.avi), written=231
[181/2517] actionclipautoautotrain00181: frames=406, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00181.avi), written=406
[182/2517] actionclipautoautotrain00169: frames=2206, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00169.avi), written=2206
[183/2517] actionclipautoautotrain00184: frames=381, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00184.avi), written=381
[184/2517] actionclipautoautotrain00183: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00183.avi), written=431
[185/2517] actionclipautoautotrain00188: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00188.avi), written=306
[186/2517] actionclipautoautotrain00191: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00191.avi), written=256
[187/2517] actionclipautoautotrain00187: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00187.avi), written=231
[188/2517] actionclipautoautotrain00190: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00190.avi), written=231
[189/2517] actionclipautoautotrain00182: frames=1381, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00182.avi), written=1381
[190/2517] actionclipautoautotrain00192: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00192.avi), written=356
[191/2517] actionclipautoautotrain00189: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00189.avi), written=281
[192/2517] actionclipautoautotrain00196: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00196.avi), written=306
[193/2517] actionclipautoautotrain00193: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00193.avi), written=356
[194/2517] actionclipautoautotrain00186: frames=906, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00186.avi), written=906
[195/2517] actionclipautoautotrain00195: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00195.avi), written=306
[196/2517] actionclipautoautotrain00197: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00197.avi), written=256
[197/2517] actionclipautoautotrain00198: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00198.avi), written=356
[198/2517] actionclipautoautotrain00200: frames=331, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00200.avi), written=331
[199/2517] actionclipautoautotrain00194: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00194.avi), written=431
[200/2517] actionclipautoautotrain00199: frames=581, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00199.avi), written=581
[201/2517] actionclipautoautotrain00201: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00201.avi), written=256
[202/2517] actionclipautoautotrain00202: frames=381, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00202.avi), written=381
[203/2517] actionclipautoautotrain00205: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00205.avi), written=231
[204/2517] actionclipautoautotrain00207: frames=306, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00207.avi), written=306
[205/2517] actionclipautoautotrain00208: frames=306, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00208.avi), written=306
[206/2517] actionclipautoautotrain00206: frames=581, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00206.avi), written=581
[207/2517] actionclipautoautotrain00209: frames=481, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00209.avi), written=481
[208/2517] actionclipautoautotrain00204: frames=606, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00204.avi), written=606
[209/2517] actionclipautoautotrain00213: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00213.avi), written=231
[210/2517] actionclipautoautotrain00212: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00212.avi), written=281
[211/2517] actionclipautoautotrain00211: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00211.avi), written=431
[212/2517] actionclipautoautotrain00210: frames=606, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00210.avi), written=606
[213/2517] actionclipautoautotrain00203: frames=1356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00203.avi), written=1356
[214/2517] actionclipautoautotrain00216: frames=231, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00216.avi), written=231
[215/2517] actionclipautoautotrain00215: frames=320, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00215.avi), written=320
[216/2517] actionclipautoautotrain00214: frames=380, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00214.avi), written=380
[217/2517] actionclipautoautotrain00217: frames=321, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00217.avi), written=321
[218/2517] actionclipautoautotrain00220: frames=231, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00220.avi), written=231
[219/2517] actionclipautoautotrain00218: frames=351, subjects=5, fps=29.97 (ffprobe:actionclipautoautotrain00218.avi), written=351
